票站編號,票站名稱,地址,推算選區,立法會選區
M1201,屏山天水圍體育館,新界元朗天水圍聚星路1號屏山天水圍文化康樂大樓3樓,M12,新界西
M1301,橫洲村公所,新界元朗橫洲福慶村142號,M13,新界西
M1302,前沙江公立聯益學校,新界元朗屏山沙江圍,M13,新界西
M1401,基督教香港信義會榮真堂,新界元朗流浮山深灣路,M14,新界西
M1402,錫降圍村公所,新界元朗廈村廈尾路錫降圍56號,M14,新界西
M1403,鄰舍輔導會屯門/元朗鄉郊中心,新界元朗洪水橋洪堤路8號雅珊園商場地下1號舖,M14,新界西
M1501,伊利沙伯中學舊生會小學分校,新界元朗天水圍第4期第3區,M15,新界西
M1502,獅子會何德心小學,新界元朗天水圍第3區天盛苑第2校舍,M15,新界西
M1601,天瑞社區中心,新界元朗天水圍天瑞邨,M16,新界西
M1701,東華三院姚達之紀念小學(元朗),新界元朗天水圍天瑞邨第1期屋邨小學,M17,新界西
M1801,賽馬會毅智書院,新界元朗天水圍第31區第1期(天頌苑),M18,新界西
M1802,東華三院李東海小學,新界元朗天水圍天壇街19號,M18,新界西
M1901,天水圍循道衞理中學,新界元朗天水圍第102區第4期(天富苑),M19,新界西
M2001,天暉路社區會堂,新界元朗天水圍天暉路,M20,新界西
M2101,聖公會天水圍靈愛小學,新界元朗天水圍天瑞路82號,M21,新界西
M2201,順德聯誼總會伍冕端小學,新界元朗天水圍天恒邨,M22,新界西
M2301,元朗公立中學校友會英業小學,新界元朗天水圍天瑞路86號,M23,新界西
M2401,天晴社區會堂,新界元朗天水圍天華路天晴邨,M24,新界西
M2501,香港管理專業協會羅桂祥中學,新界元朗天水圍天柏路26號,M25,新界西
M2601,道慈佛社楊日霖紀念學校,新界元朗天水圍天柏路6號,M26,新界西
M2701,天水圍官立中學,新界元朗天水圍天耀邨第2期,M27,新界西
M2801,天耀社區中心,新界元朗天水圍天耀邨,M28,新界西
M2901,裘錦秋中學 (元朗),新界元朗天水圍天湖路5號,M29,新界西
M3001,香港青年協會李兆基小學,新界元朗天水圍天榮路11號,M30,新界西
M3101,港澳信義會黃陳淑英紀念學校,新界元朗大生圍錦綉花園紫荊東路,M31,新界西
M3201,惇裕學校,新界元朗新田,M32,新界西
M3202,聖加百利幼稚園,新界元朗新田新圍村1號,M32,新界西
M3301,聖公會聖約瑟小學,新界元朗錦田波地路12號,M33,新界西
M3401,台山公立學校 (舊址),新界元朗八鄉粉錦公路橫台山散村100號,M34,新界西
M3501,八鄉中心小學 (石湖塘),新界元朗八鄉錦上路石湖塘村168號,M35,新界西
S0101,中華傳道會許大同學校,新界葵涌葵興邨,S01,新界西
S0201,基督教香港信義會葵盛信義學校,新界葵涌葵盛東邨,S02,新界西
S0301,仁愛堂彭鴻樟幼稚園,新界葵涌大窩口邨富泰樓地下,S03,新界西
S0401,佛教林炳炎紀念學校(香港佛教聯合會主辦),新界葵涌大廈街33號,S04,新界西
S0501,中華基督教會全完中學,新界葵涌葵涌邨上角街15號,S05,新界西
S0601,中華基督教會全完幼稚園,新界葵涌葵涌邨葵涌商場3樓平台4號,S06,新界西
S0602,聖公會林護紀念中學,新界葵涌葵盛圍397號,S06,新界西
S0701,聖公會主愛小學,新界葵涌石蔭童子街45號,S07,新界西
S0801,慈幼葉漢小學,新界葵涌安蔭邨,S08,新界西
S0901,石籬 (一) 邨室內活動室,新界石籬(一)邨1號停車場1號活動室,S09,新界西
S1001,石籬社區會堂,新界葵涌大白田街2號,S10,新界西
S1101,香港道教聯合會圓玄學院第一中學,新界葵涌和宜合道42號,S11,新界西
S1201,佛教林金殿紀念小學,新界葵涌葵芳邨第5期屋邨校舍,S12,新界西
S1301,華景山莊北停車場地下會議室,新界葵涌華景山路9號華景山莊,S13,新界西
S1302,迦密愛禮信中學,新界葵涌華景山路4號,S13,新界西
S1303,東華三院高可寧紀念小學,新界葵涌麗瑤邨小學屋邨校舍第1座,S13,新界西
S1401,中華基督教會基真小學,新界葵涌華荔徑11號,S14,新界西
S1501,香港四邑商工總會陳南昌紀念中學,新界葵涌祖堯邨敬祖路12號,S15,新界西
S1601,葵芳社區會堂,新界葵涌禮芳街2號,S16,新界西
S1701,荔景社區會堂,新界葵涌荔景山路205號,S17,新界西
S1801,葵盛社區會堂,新界葵涌葵盛西邨第6座平台,S18,新界西
S1901,地利亞(閩僑)英文小學,新界青衣長安邨第2期地利亞(閩僑)英文小學,S19,新界西
S1902,中華基督教會燕京書院,新界青衣牙鷹洲街12號,S19,新界西
S2001,聖公會青衣邨何澤芸小學,新界青衣青綠街3號,S20,新界西
S2101,荃灣商會學校,新界青衣青衣邨第1期第1區荃灣商會學校,S21,新界西
S2201,東華三院吳祥川紀念中學,新界青衣市中心清心街7號,S22,新界西
S2202,保良局世德小學,新界青衣青綠街23號,S22,新界西
S2301,長青社區中心,新界青衣青康路6號,S23,新界西
S2302,美景花園自修室,新界青衣細山路2-16號美景花園第11座L3層,S23,新界西
S2401,青衣商會小學,新界青衣長康邨青康路12號,S24,新界西
S2402,青衣商會幼稚園,新界青衣青華苑停車場大廈地下,S24,新界西
S2501,樂善堂梁植偉紀念中學,新界青衣長康邨第5期樂善堂梁植偉紀念中學,S25,新界西
S2601,藍澄會,新界青衣青衣路1號第1座5樓及6樓,S26,新界西
S2602,聖公會青衣主恩小學,新界青衣長宏邨,S26,新界西
S2701,長亨社區會堂,新界青衣長亨邨第2期,S27,新界西
S2801,長發社區中心,新界青衣担杆山路6號,S28,新界西
S2901,中華傳道會呂明才小學,新界青衣長發邨,S29,新界西
T0101,中華基督教會大澳小學,新界大嶼山大澳街市街24-26號,T01,新界西
T0102,沙螺灣鄉公所,新界大嶼山沙螺灣涌口17號,T01,新界西
T0103,大澳䃟頭村村公所,新界大嶼山大澳䃟頭村2D,T01,新界西
T0104,醫療輔助隊東涌訓練中心,新界大嶼山東涌下嶺皮1號,T01,新界西
T0105,牛牯塱三鄉合作社,新界大嶼山大蠔新村25號,T01,新界西
T0106,寶蓮禪寺大澳廳,新界大嶼山昂坪昂平路寶蓮禪寺,T01,新界西
T0107,梅窩體育館,新界大嶼山銀石街9號梅窩市政大廈1樓,T01,新界西
T0108,塘福鄉公所,新界大嶼山嶼南道塘福33號地下,T01,新界西
T0109,杯澳公立學校,新界大嶼山貝澳羅屋村2號,T01,新界西
T0201,東涌天主教學校,新界大嶼山東涌逸東街8號逸東(二)邨,T02,新界西
T0301,香港教育工作者聯會黃楚標學校,新界大嶼山東涌逸東(一)邨,T03,新界西
T0401,東涌社區會堂,新界大嶼山東涌文東路39號東涌市政大樓地下,T04,新界西
T0501,香港教育工作者聯會黃楚標中學,新界大嶼山東涌富東邨第3期第10區,T05,新界西
T0601,愉景灣社區會堂,新界大嶼山愉景灣海澄湖畔路99號,T06,新界西
T0701,坪洲體育館,新界坪洲寶坪街6號坪洲市政大廈,T07,新界西
T0801,南丫島北段鄉事委員會,新界南丫島榕樹灣大街21號,T08,新界西
T0802,索罟灣普通科門診診所,新界南丫島索罟灣第二街1號地下,T08,新界西
T0901,佛教慧因法師紀念中學,新界長洲大興堤路25號,T09,新界西
T0902,明愛陳震夏郊野學園(聖保祿校舍),新界長洲長洲地段1139號龍仔村,T09,新界西
T1001,長洲體育館,新界長洲長洲醫院路3號,T10,新界西
T1002,國民學校,新界長洲國民路30號,T10,新界西
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,新界粉嶺聯和墟聯益街9號,N01,新界東
N0201,粉嶺公立學校,新界粉嶺粉嶺村651號,N02,新界東
N0202,明愛粉嶺陳震夏中學,新界粉嶺新運路28號,N02,新界東
N0301,祥華社區會堂,新界粉嶺祥華邨,N03,新界東
N0401,香海正覺蓮社佛教正覺蓮社學校,新界粉嶺一鳴路12號,N04,新界東
N0501,鳳溪廖潤琛紀念學校,新界粉嶺華明邨,N05,新界東
N0601,香海正覺蓮社佛教普光學校,新界粉嶺欣盛里2號,N06,新界東
N0602,路德會賽馬會雍盛綜合服務中心,新界粉嶺雍盛苑雍盛商場2樓,N06,新界東
N0701,聖公會嘉福榮真小學,新界粉嶺嘉福邨,N07,新界東
N0801,粉嶺官立中學,新界粉嶺一鳴路27號,N08,新界東
N0802,田家炳中學,新界粉嶺維翰路1號,N08,新界東
N0901,風采中學 (教育評議會主辦),新界上水清城路8號,N09,新界東
N1001,保榮路體育館,新界上水百和路19號,N10,新界東
N1101,金錢村何東學校,新界上水金錢村,N11,新界東
N1102,蕉徑村公所,新界上水蕉徑老圍,N11,新界東
N1103,古洞公立愛華學校,新界上水古洞村河上鄉路,N11,新界東
N1104,坑頭村公所,新界上水坑頭村25號,N11,新界東
N1201,彩園會堂,新界上水彩園邨,N12,新界東
N1301,龍琛路體育館,新界上水馬會道155號,N13,新界東
N1302,聖公會陳融中學,新界上水智昌路6號,N13,新界東
N1303,香海正覺蓮社佛教陳式宏學校,新界上水旭埔苑,N13,新界東
N1401,石湖墟公立學校,新界上水天平邨,N14,新界東
N1501,鳳溪廖萬石堂中學,新界上水鳳南路6號,N15,新界東
N1601,打鼓嶺嶺英公立學校,新界北區打鼓嶺週田村,N16,新界東
N1602,International College Hong Kong,新界沙頭角石涌凹沙頭角公路60號,N16,新界東
N1603,吉澳村公所,新界沙頭角吉澳島吉澳大街51號,N16,新界東
N1604,沙頭角中心小學,新界沙頭角沙頭角墟第4區,N16,新界東
N1605,李氏宗祠,新界沙頭角烏蛟騰村祠心路103號,N16,新界東
N1606,打鼓嶺社區會堂,新界打鼓嶺坪輋路136號打鼓嶺鄉村中心政府大樓地下,N16,新界東
N1701,天平體育館,新界上水天平邨天平商場3樓,N17,新界東
N1702,聯和墟社區會堂,新界粉嶺聯和墟和滿街9號地下,N17,新界東
N1801,從謙學校,新界粉嶺崇謙堂村樂東街10號,N18,新界東
N1802,龍山學校,新界粉嶺龍躍頭,N18,新界東
N1803,軍地蔬菜產銷有限責任合作社,新界粉嶺沙頭角公路地段DD83,N18,新界東
N1804,新福事工協會生命導向中心,新界粉嶺簡頭村75號,N18,新界東
N1805,和合石村公所,新界粉嶺和合石村23號D1,N18,新界東
P0101,大埔社區中心(展覽廳),新界大埔鄉事會街2號,P01,新界東
P0201,大埔官立中學,新界大埔安邦路12號,P02,新界東
P0301,新界婦孺福利會梁省德學校,新界大埔大元邨新界婦孺福利會梁省德學校,P03,新界東
P0302,香港紅卍字會大埔卍慈中學,新界大埔富亨邨香港紅卍字會大埔卍慈中學,P03,新界東
P0401,大元社區會堂,新界大埔大元邨大元社區會堂,P04,新界東
P0501,富亨鄰里社區中心,新界大埔富亨邨第4期,P05,新界東
P0601,富善社區會堂,新界大埔富善邨富善社區會堂,P06,新界東
P0701,香港道教聯合會圓玄學院第二中學,新界大埔富善邨香港道教聯合會圓玄學院第二中學,P07,新界東
P0801,廣福社區會堂,新界大埔廣福邨廣福社區會堂,P08,新界東
P0802,大埔崇德黃建常紀念學校,新界大埔東昌街,P08,新界東
P0901,大埔浸信會公立學校,新界大埔廣福邨大埔浸信會公立學校,P09,新界東
P1001,香港教師會李興貴中學,新界大埔運頭塘邨香港教師會李興貴中學,P10,新界東
P1002,保良局田家炳千禧小學,新界大埔大埔公路大埔滘段4641號,P10,新界東
P1101,運頭塘鄰里社區中心,新界大埔運頭塘邨運頭塘鄰里社區中心,P11,新界東
P1201,仁濟醫院蔡衍濤小學,新界大埔第六區運頭塘邨,P12,新界東
P1202,挪威國際學校,新界大埔錦山路170號,P12,新界東
P1301,南華莆村崇真堂,新界大埔林村谷大窩西支路南華莆村2號,P13,新界東
P1302,獅子會林村青年中心,新界大埔林村放馬莆,P13,新界東
P1303,圍頭村村公所,新界大埔圍頭村52號,P13,新界東
P1304,泰亨公立學校,新界大埔泰亨村中心圍9號,P13,新界東
P1401,神召會康樂中學,新界大埔寶雅苑,P14,新界東
P1501,林村公立黃福鑾紀念學校,新界大埔太和邨林村公立黃福鑾紀念學校,P15,新界東
P1601,太和鄰里社區中心,新界大埔太和邨太和鄰里社區中心,P16,新界東
P1701,大埔三育中學,新界大埔大埔頭徑2號,P17,新界東
P1702,九龍坑公立育賢學校,新界大埔九龍坑村62號,P17,新界東
P1703,康樂園服務處會議室,新界大埔康樂園市中心徑5號1樓A室,P17,新界東
P1704,孔教學院大成何郭佩珍中學,新界大埔富善邨孔教學院大成何郭佩珍中學,P17,新界東
P1801,大美督村公所,新界大埔大美督村51號A,P18,新界東
P1802,船灣詹屋村村公所,新界大埔汀角路船灣詹屋村38號,P18,新界東
P1803,香港教育學院賽馬會小學,新界大埔露屏路10號,P18,新界東
P1901,香港浸信會神學院,新界西貢北西澳年明路1號,P19,新界東
P1902,西貢郊野公園遊客中心,新界西貢北潭涌大網仔路531號,P19,新界東
P1903,塔門鄉公所,新界大埔塔門,P19,新界東
Q0101,西貢賽馬會大會堂,新界西貢親民街8號,Q01,新界東
Q0102,萬宜漁村公共會堂,新界西貢對面海康健路140號萬宜漁村,Q01,新界東
Q0201,前西貢中心小學,新界西貢蠔涌,Q02,新界東
Q0401,港澳信義會小學,新界將軍澳集福路4號,Q04,新界東
Q0501,新界西貢坑口區鄭植之中學,新界西貢竹角路8號,Q05,新界東
Q0601,播道書院,新界將軍澳至善街7號,Q06,新界東
Q0701,香港基督教女青年會將軍澳綜合社會服務處,新界將軍澳調景嶺澳景路88號維景灣畔第17座地庫3層,Q07,新界東
Q0801,優才(楊殷有娣)書院(將軍澳),新界將軍澳調景嶺嶺光街10號,Q08,新界東
Q0901,香海正覺蓮社佛教正覺中學,新界將軍澳調景嶺翠嶺路38號,Q09,新界東
Q1001,寶覺中學,新界將軍澳彩明苑彩明街9號,Q10,新界東
Q1101,博愛醫院八十週年鄧英喜中學,新界將軍澳唐賢里2號,Q11,新界東
Q1201,仁濟醫院王華湘中學,新界將軍澳唐俊街8號,Q12,新界東
Q1301,將軍澳運動場,新界將軍澳寶康路109號,Q13,新界東
Q1401,將軍澳官立小學,新界將軍澳厚德邨將軍澳官立小學,Q14,新界東
Q1501,翠林體育館,新界將軍澳翠林邨翠林體育館,Q15,新界東
Q1502,景嶺書院,新界將軍澳林盛路1號,Q15,新界東
Q1601,翠林社區會堂,新界將軍澳翠林邨翠林社區會堂,Q16,新界東
Q1701,迦密主恩中學,新界將軍澳寶林邨迦密主恩中學,Q17,新界東
Q1801,寶林邨文娛活動會堂,新界將軍澳寶林邨寶林邨文娛活動會堂,Q18,新界東
Q1901,順德聯誼總會梁潔華小學,新界將軍澳貿泰路2號,Q19,新界東
Q1902,順德聯誼總會鄭裕彤中學,新界將軍澳學林里9號,Q19,新界東
Q2001,景林鄰里社區中心,新界將軍澳景林邨,Q20,新界東
Q2101,天主教鳴遠中學,新界將軍澳厚德邨天主教鳴遠中學,Q21,新界東
Q2201,港澳信義會慕德中學,新界將軍澳厚德邨第3期,Q22,新界東
Q2301,坑口社區會堂,新界將軍澳坑口培成路38號西貢將軍澳政府綜合大樓地下,Q23,新界東
Q2401,尚德社區會堂,新界將軍澳尚德邨尚美樓,Q24,新界東
Q2501,香港道教聯合會圓玄學院第三中學,新界將軍澳唐明街2號尚德邨,Q25,新界東
Q2601,啓思中學,新界將軍澳蓬萊路3號,Q26,新界東
Q2602,康城社區會堂,新界將軍澳日出康城首都,Q26,新界東
R0101,沙田大會堂,新界沙田源禾路1號,R01,新界東
R0102,沙田官立中學,新界沙田文禮路11-17號,R01,新界東
R0201,瀝源社區會堂,新界沙田瀝源邨,R02,新界東
R0301,禾輋社區會堂,新界沙田禾輋邨禾輋商場平台,R03,新界東
R0401,浸信會呂明才小學,新界沙田第一城得榮街2號,R04,新界東
R0501,五旬節林漢光中學,新界沙田愉田苑,R05,新界東
R0601,慈航學校,新界沙田源昌里1號,R06,新界東
R0602,富豪花園商場一樓富豪橋有蓋走廊,新界沙田大涌橋路52號富豪花園,R06,新界東
R0701,佛教覺光法師中學,新界沙田沙角邨,R07,新界東
R0801,博康社區會堂,新界沙田博康邨,R08,新界東
R0901,沙田圍胡素貞博士紀念學校,新界沙田乙明邨街2號,R09,新界東
R1001,秦石社區會堂,新界沙田秦石邨,R10,新界東
R1101,新田圍社區會堂,新界沙田新田圍邨,R11,新界東
R1201,九龍城浸信會禧年 (恩平) 小學,新界沙田大圍新翠邨第2期校舍,R12,新界東
R1301,香港中文大學校友會聯會張煊昌學校,新界沙田顯徑邨嘉田苑,R13,新界東
R1302,顯徑體育館,新界沙田顯徑邨顯徑商場,R13,新界東
R1401,美田社區會堂,新界沙田大圍美滿里9號,R14,新界東
R1501,東莞工商總會劉百樂中學,新界沙田大圍積泰里1號,R15,新界東
R1601,顯徑鄰里社區中心,新界沙田顯和里5號,R16,新界東
R1602,才俊學校,新界沙田顯泰街2號,R16,新界東
R1701,隆亨社區中心,新界沙田隆亨邨,R17,新界東
R1801,東莞工商總會張煌偉小學,新界沙田翠田街2號新翠邨,R18,新界東
R1901,佛教黃允畋中學,新界沙田大圍美林邨佛教黃允畋中學,R19,新界東
R1902,大圍村村公所,新界沙田大圍第一街38號,R19,新界東
R2001,樂道中學,新界沙田大圍美林邨樂道中學,R20,新界東
R2002,基督教香港信義會沙田信義幼稚園,新界沙田大圍銅鑼灣山路1號,R20,新界東
R2101,保良局蕭漢森小學,新界沙田穗禾苑42A地段,R21,新界東
R2201,賽馬會體藝中學,新界沙田火炭樂景街5-7號,R22,新界東
R2301,香港中文大學富爾敦樓,新界沙田香港中文大學富爾敦樓103室,R23,新界東
R2302,仁愛堂香港台山商會長者活動中心,新界沙田火炭駿景園駿景路1號地下,R23,新界東
R2401,宣道會台山陳元喜小學,新界沙田馬鞍山頌安邨,R24,新界東
R2501,香港中文大學校友會聯會陳震夏中學,新界沙田馬鞍山西沙路632號頌安邨,R25,新界東
R2601,香港道教聯合會純陽小學,新界沙田馬鞍山鞍駿街30號,R26,新界東
R2801,明愛馬鞍山中學,新界沙田馬鞍山錦英路2號,R28,新界東
R2901,利安社區會堂,新界沙田馬鞍山沙安街23號馬鞍山利安社區服務大樓,R29,新界東
R3001,吳氏宗親總會泰伯紀念學校,新界沙田馬鞍山錦英苑,R30,新界東
R3002,東華三院黃鳳翎中學,新界沙田馬鞍山馬鞍山路208號,R30,新界東
R3101,保良局莊啟程小學,新界沙田馬鞍山耀安邨,R31,新界東
R3201,馬鞍山聖若瑟小學,新界沙田馬鞍山恒安邨第1座校舍,R32,新界東
R3202,恒安社區中心,新界沙田馬鞍山恒安邨,R32,新界東
R3301,德信中學,新界沙田馬鞍山寧泰路27號,R33,新界東
R3401,聖公會馬鞍山主風小學,新界沙田馬鞍山寧泰路35號,R34,新界東
R3402,基督教香港信義會馬鞍山信義學校,新界沙田馬鞍山恒安邨第2校舍,R34,新界東
R3501,林大輝中學,新界沙田銀城街25號,R35,新界東
R3601,路德會梁鉅鏐小學,新界沙田安景街5號,R36,新界東
R3602,香港浸會大學附屬學校王錦輝中小學,新界沙田石門安睦里6號,R36,新界東
R3701,世界龍岡學校黃耀南小學,新界沙田廣源邨第1期,R37,新界東
R3801,廣源社區會堂,新界沙田廣源邨,R38,新界東
